,City,Distances,Data,Name,Website,State,Latitude,Longitude
0,Dacula,"10K, 5K",9/28/2019,Dirty Spokes Georgia Harbins Park 10K/5K Trail Run,http://www.dirtyspokes.com/harbins-park-run/,GA,33.9102,-83.8527
1,Suwanee,"12hrs, 8hrs",10/5/2019,A Stroll in the Park,http://ultrasignup.com,GA,34.072,-84.1182
2,Dahlonega,"100K, 50K Run, 1/2 Marathon Run",10/5/2019,The Bull Mountain Epic,http://www.dumassevents.com,GA,34.5828,-84.1443
3,Forsyth,"5K, Fun Run",10/5/2019,Mission Possible 5K and Fun Run,https://sites.google.com/view/mchfh/support/mission-possible-5k-and-fun-run,GA,33.0274,-83.9326
4,Forsyth,"12hrs, 6hrs",10/5/2019,CAMMO Catfish Crawl 6 & 12Hr Endurance Run,https://www.facebook.com/CammoForKids/,GA,33.1249,-83.9446
5,Chattanooga,"50K, 10 Miler",10/12/2019,Rock/Creek Stump Jump 50k & 10 Miler,http://races.rockcreek.com/,TN,35.1617,-85.3681
6,Canton,"24hrs, 12hrs, 6hrs, 3hrs",10/12/2019,Sleepy Hollow Hourly Ultra,http://sleepyhollow.racesonline.com/,GA,34.2338,-84.5045
7,Blue Ridge,"50K, 30K, 15K",10/12/2019,BLUE RIDGE ULTRA,https://www.argeorgia.com/blue-ridge-ultra,GA,34.7836,-84.259
8,Chatsworth,"Marathon, 12 Miler",10/13/2019,Mystery Mountain Marathon & 12-Miler,http://www.getguts.com/our-races/mystery-mountain-marathon-and-12-miler.html,GA,34.7613,-84.7028
9,Alabaster,"48hrs, 24hrs, 12hrs, 6hrs",10/18/2019,The Endless Mile,http://www.southeasterntrailruns.com/endless-mile.html,AL,33.186,-86.829
10,Bell Buckle,Last Man Standing,10/19/2019,Big Backyard Ultra,https://www.facebook.com/groups/142055916440410/,TN,35.6709,-86.3484
11,Canton,"50K, 25K, 8 Miler",10/19/2019,Way's Bluff,http://www.mutsrunning.org,MS,32.7489,-90.0112
12,Pine Mountain,"25K, 50K",10/19/2019,The Big 50,http://www.bigdogfleetfeet.com,GA,32.8386,-84.8157
13,Pocahontas,"50K, 25K",10/19/2019,Walking Tall 50/25K,https://www.walkingtall50k.com/,TN,35.063,-88.7191
14,Kennesaw,"100 Mile - 7 Person Relay, 100 Mile - 4 Person Relay",10/19/2019,General 100 Relay,http://www.general100.com,GA,34.0233,-84.6144
15,Soddy Daisy,4.2 Miler,10/19/2019,Rock/Creek Hellbilly 4.2 Race,http://races.rockcreek.com,TN,35.2491,-85.2179
16,Huntsville,"Marathon, 1/2 Marathon, 10K",10/20/2019,Wade Mountain Marathon,http://www.runninglane.com/runs/wade,AL,34.8075,-86.5898
17,Chattanooga,Variable Distance,10/26/2019,The Cannonball,https://www.facebook.com/cannonballrace/?fref=ts,TN,35.0778,-85.3094
18,Tucker,"12hrs, 6hrs",10/26/2019,Henderson Trail 12 & 1/2,https://www.facebook.com/HendersonTrailRunner/?modal=admin_todo_tour,GA,33.8545,-84.2171
19,Birmingham,"10K, 5K, Mile",10/27/2019,BOO Run for Down Syndrome Alabama,http://ultrasignup.com,AL,33.3887,-86.7265
20,Pine Mountain,8hrs,10/27/2019,White Pumpkin Endurance Run,https://www.facebook.com/events/599643343823924/,GA,32.8614,-84.8398
21,Chatsworth,300 Miler,10/31/2019,Pinhoti Trail Slam,http://doubletop100.info/index.html,GA,34.7592,-84.6919
22,Sylacauga,100 Miler,11/2/2019,Pinhoti,http://www.pinhotitrailseries.com,AL,33.1732,-86.2516
23,Blue Ridge,"30K, 11K",11/2/2019,Big Peach Running Co. Farm to Trail 11K & 30K,http://www.dirtyspokes.com,GA,34.8288,-84.3069
24,Chattanooga,10K,11/3/2019,Urban Nature 10k,http://wildtrails.org/events-fundraisers/wild-trails-race-series/urban-nature-10k/,TN,35.0601,-85.3082
25,Rising Fawn,Camp,11/8/2019,Stairway to Adventure,https://www.e2coaching.com/new-events,GA,34.8395,-85.484
26,Chattanooga,50K,11/9/2019,Upchuck 50K,http://wildtrails.org/events-fundraisers/wild-trails-race-series/upchuck-50k/,TN,35.2896,-85.1586
27,Huntsville,50K,11/16/2019,Dizzy Fifties,http://huntsvilletrackclub.org/,AL,34.7454,-86.5114
28,Hampton,"24hrs, 12hrs, 6hrs",11/16/2019,The Stinger All Comers Track Race,http://www.revolutionrunning.net,GA,33.3801,-84.2552
29,Pelham,"100 Miler, 50 Miler, 50K, 25K",11/22/2019,Blood Rock 100,https://www.southeasterntrailruns.com/blood-rock-100--50.html,AL,33.3501,-86.719
30,Milton,"100 Miler, 50 Miler",11/23/2019,Cottonmouth 100,https://www.facebook.com/traildancersrunningseries/,FL,30.8601,-86.8349
31,Woodville,"5K, 15K",11/23/2019,Cathedral Caverns Trail Run,http://www.runninglane.com/events,AL,34.5731,-86.2206
32,Foster Falls State Park,"Marathon, 1/2 Marathon",11/30/2019,Fiery Gizzard Run,http://hardwinadventures.com/fiery-gizzard-run/,TN,35.182,-85.6728
33,Pine Mountain,"46 Miler, 19 Miler",12/7/2019,Pine Mountain Trail Run,http://getguts.com/pine-mountain-40-miler.html,GA,32.8474,-84.811
34,Powder Springs,"Last Runner Standing, 12hrs, 6hrs, 3hrs, 1hrs, Virtual Runner",12/7/2019,Miles For Maria,https://www.facebook.com/MilesForMariaEpic6Hr12HrRunForEpilepsy,GA,33.9038,-84.7161
35,Birmingham,"27 Miler, 13.5 Miler",12/7/2019,BUTS Bearly Ultra,http://www.facebook.com/groups/553798421304556/,AL,33.4449,-86.8624
36,Rising Fawn,"50K, 1/2 Marathon",12/7/2019,Cloudland Canyon 50k / Half Marathon,https://www.runbumtours.com,GA,34.8246,-85.4836
37,Winder,"3.1 Miler, 8.75 Miler",12/7/2019,Dirty Spokes Fort Yargo Trail Run,http://www.dirtyspokes.com/fort-yargo-state-park/,GA,33.9708,-83.7288
38,Atlanta,"50 Miler, 35 Miler, 20 Miler, 10 Miler",12/7/2019,The Underground Circus 100 Winter edition,http://www.Jameelahsworld.com,GA,33.7532,-84.3918
39,Ellijay,"24hrs, 12hrs, 6hrs",12/7/2019,Mulberry Meltdown,https://www.instagram.com/runthecohuttas,GA,34.7984,-84.6121
40,Pine Mountain,"1/2 Marathon, 10K",12/15/2019,Holiday Hootie Hoo,https://www.facebook.com/SouthernSingletrackTrailSeries/,GA,32.8342,-84.9046
41,Lookout Mountain,"50 Miler, 18 Miler, 10K",12/21/2019,Lookout Mountain,http://wildtrails.org/events-fundraisers/wild-trails-race-series/lookout-mountain-50-miler/,GA,34.957,-85.3795
42,Fort Walton Beach,36.8 Miler,12/28/2019,Round the Bay Relay and Ultra,http://roundthebayrelay.com,FL,30.396,-86.5843
43,Huntsville,50K,12/31/2019,Recover from the Holidays 50K,http://huntsvilletrackclub.org/huntsville-track-club-events/,AL,34.7733,-86.5473
44,Meridian,"50K, 25K, 12.5K",1/4/2020,The Great Scorpion Trail Run,http://www.greatscorpiontrailrun.com,MS,32.354,-88.6628
45,Lithia Springs,"50K, 25K",1/5/2020,Atlanta Fat Ass 50K,http://www.getguts.com,GA,33.7512,-84.6311
46,Huntsville,"15K, 4 Miler",1/11/2020,Fleet Feet Monte Sano 15K/4Mi Trail Running Race,http://www.dirtyspokes.com/monte-sano-state-park/,AL,34.7421,-86.5149
47,Milton,"100K, 50 Miler, 50K, 25K",1/18/2020,Bear Bait Ultras,https://facebook.com/bearbait.ultramarathon/?ref=hl,FL,30.8613,-86.8335
48,Huntsville,50K,1/25/2020,Mountain Mist,http://www.huntsvilletrackclub.org/,AL,34.7417,-86.515
49,Albany,"50 Miler, 50K, 10 Miler, 4 Miler",1/25/2020,Chehaw Challenge,https://chehawchallenge.wordpress.com/,GA,31.6279,-84.1356
50,Huntsville,Slam Series,1/26/2020,Huntsville AL Grand Slam,http://www.huntsvilletrackclub.org ,AL,34.7441,-86.5115
51,Cartersville,"11.5 Miler, Kids 1 Mile",2/2/2020,Red Top Rumble,http://www.getguts.com/red-top-rumble.html,GA,34.1425,-84.7044
52,Lithia Springs,1/2 Marathon,2/8/2020,SweetH20 Sweetheart Half Marathon,http://www.dcroguerunners.com/#!sweeth20-sweetheart-half-marathon/cwok,GA,33.7578,-84.6421
53,Madison County,"15 Miler, 15K",2/8/2020,Frosty 15,http://www.mutsrunning.org,MS,32.4652,-90.0577
