State,TotalArea,LandArea,WaterArea,Density,Pop
AL,52420,50645,1775,96.7173,4898246
AK,665384,570641,94743,1.2893,735720
AZ,113990,113594,396,64.0445,7275070
AR,53179,52035,1143,58.1611,3026412
CA,163696,155779,7916,255.1516,39747267
CO,104094,103642,452,55.6777,5770545
CT,5543,4842,701,736.8589,3567871
DE,2489,1949,540,500.2735,975033
DC,68,61,7,11665.0984,711571
FL,65758,53625,12133,403.6579,21646155
GA,59425,57513,1912,184.789,10627767
HI,10932,6423,4509,220.5494,1416589
ID,83569,82643,926,21.6616,1790182
IL,57914,55519,2395,228.7574,12700381
IN,36420,35826,593,187.5346,6718616
IA,56273,55857,416,56.7162,3167997
KS,82278,81759,520,35.6038,2910931
KY,40408,39486,921,113.5604,4484047
LA,52378,43204,9174,107.6887,4652581
ME,35380,30843,4537,43.5138,1342097
MD,12406,9707,2699,624.5923,6062917
MA,10554,7800,2754,889.6632,6939373
MI,96714,56539,40175,177.2312,10020472
MN,86936,79627,7309,71.0302,5655925
MS,48432,46923,1509,63.6766,2987895
MO,69707,68742,965,89.4338,6147861
MT,147040,145546,1494,7.3828,1074532
NE,77348,76824,524,25.2645,1940919
NV,110572,109781,791,28.1198,3087025
NH,9349,8953,397,152.3346,1363852
NJ,8723,7354,1368,1213.2917,8922547
NM,121590,121298,292,17.28,2096034
NY,54555,47126,7429,413.6005,19491339
NC,53819,48618,5201,215.9229,10497741
ND,70698,69001,1698,11.0274,760900
OH,44826,40861,3965,286.791,11718568
OK,69899,68595,1304,57.5691,3948950
OR,98379,95988,2391,44.2337,4245901
PA,46054,44743,1312,286.3905,12813969
RI,1545,1034,511,1021.9903,1056738
SC,32020,30061,1960,171.2222,5147111
SD,77116,75811,1305,11.7744,892631
TN,42144,41235,909,165.728,6833793
TX,268596,261232,7365,111.3457,29087070
UT,84897,82170,2727,39.2066,3221610
VT,9616,9217,400,68.046,627180
VA,42775,39490,3285,217.0662,8571946
WA,71298,66456,4842,115.3597,7666343
WV,24230,24038,192,74.5466,1791951
WI,65496,54158,11339,107.6971,5832661
WY,97813,97093,720,5.8952,572381
