,State,City,Event,Latitude,Longitude,Date
0,CT,Roxbury,Roxbury Marathon,41.5487,-73.3137,11/9/2019
1,MD,Darlington,MDT Challenge,39.6705,-76.2054,11/9/2019
2,NH,Bennington,The Vertical Challenge,43.0115,-71.8796,11/9/2019
3,MA,Winchester/Lexington,TARCkey Trot,42.4418,-71.1742,11/16/2019
4,NY,Union Vale,Hot Iron Half Marathon Trail Race,41.6504,-73.7012,11/17/2019
5,CT,Washington Depot,Steep Rock Trail Series-Steep Rock Half Marathon,41.6212,-73.325,11/17/2019
6,CT,Southington,CT Trailmixers Fall Fling 400 Trail Race,41.5891,-72.8398,11/24/2019
7,CT,Roxbury,Roxbury Thanksgiving Day Race,41.5495,-73.314,11/28/2019
8,NJ,West Orange,Squatchy Leftovers 5K & 10K,40.765,-74.2749,11/30/2019
9,NJ,Moutainside,Beat The Bumble,40.6852,-74.372,12/1/2019
10,MA,Marlborough,Tough 10 Mile Turkey Trot,42.3551,-71.5246,12/1/2019
11,NJ,Branchville,Frozen Fools,41.1803,-74.7879,12/7/2019
12,MA,Stoneham,TARC Fells Trail Winter Ultra,42.4683,-71.11,12/7/2019
13,CT,Stratford,Frosty Forest 5K,41.252,-73.1278,12/14/2019
14,PA,Leesport,Naked Nick,40.3873,-76.0417,12/14/2019
15,MA,Springfield,Seth's Fat Ass 50K,42.0847,-72.5654,12/21/2019
16,NJ,Hewitt,Squatchayanda Ugly Sweater Night Trail Run,41.1957,-74.3919,12/21/2019
17,CT,Hamden,The West Rock Winter Fat Ass Extravaganza,41.3601,-72.9675,12/28/2019
18,DE,Felton,Angela Ivory Memorial 50K,38.9854,-75.5366,1/25/2020
19,NJ,West Orange,Frosty Fat Sass,40.7652,-74.2753,1/25/2020
20,MA,Westwood,TARCtic Frozen Yeti Trail Races,42.2341,-71.228,2/1/2020
22,NJ,Mahwah,Squatchy Onesie Fest “5K-Marathon”,41.0786,-74.1873,2/15/2020
23,PA,Leesport,Naked Bavarian,40.3866,-76.0431,2/29/2020
24,VT,Rupert,Merck Forest Snowshoe Ultra,43.274,-73.1724,3/1/2020
25,NJ,Branchville,Double Squatch,41.2022,-74.7735,3/14/2020
27,MD,Havre de Grace,HAT Run 50k,39.6005,-76.1376,3/21/2020
28,NJ,Delaware Water Gap,The MT. TAMMANY 10!,40.9704,-75.126,3/21/2020
29,MA,Westwood,TARC to Hale and Back,42.2341,-71.228,3/21/2020
30,PA,Leesport,Naked Prussian,40.3872,-76.0419,3/28/2020
31,CT,Ansonia,Six Hours at The Reservoir,41.3591,-73.0653,3/28/2020
32,NY,Lagrangeville,Spring On The Trails Endurance Runs,41.6756,-73.778,3/29/2020
33,VT,Pomfret,Runamuck 50k,43.6651,-72.5432,4/4/2020
34,NY,Beacon,Breakneck Point Trail Runs,41.4887,-73.9634,4/11/2020
35,NJ,West Orange,The Last Squatch Standing,40.7652,-74.275,4/11/2020
36,CT,Bloomfield,Traprock 50,41.8381,-72.7846,4/18/2020
37,CT,Stratford,Enchanted Forest Ultra Run,41.252,-73.1278,4/18/2020
38,NY,East Islip,Shore2Shore,40.8862,-73.2573,4/18/2020
39,PA,Philadelphia,Philadelphia Trail Marathon,40.0465,-75.2167,4/18/2020
40,MA,Weston,TARC Spring Classic,42.3802,-71.3198,4/25/2020
41,NY,Lagrangeville,Red Wing After Hours 8k,41.6725,-73.7599,4/25/2020
42,MA,Ashburnham,TARC Wapack and Back,42.6959,-71.9044,5/2/2020
43,MA,Pittsfield/Hancock,Berry Pond Hill Climb,42.4933,-73.2989,5/2/2020
44,PA,Philadelphia,Dirty German Endurance Fest,40.0886,-75.0678,5/9/2020
45,NH,Manchester,Manchester 2 Monadnock Ultramarathon,42.9866,-71.4622,5/9/2020
46,CT,New Haven,The Blue 2 Blue Challenge,41.3306,-72.9597,5/9/2020
47,CT,Southbury,T2T Racing Kettletown State Park Challenge,41.4249,-73.207,5/16/2020
48,PA,Mohnton,Charlie Horse Trail Half-Marathon and 5K,40.2257,-75.9261,5/23/2020
49,CT,Berlin,Run Ragged,41.6283,-72.8041,5/30/2020
50,MA,Alford,Alford Springs 6-Hour,42.2483,-73.445,5/30/2020
51,PA,Philadelphia,1/2 Sauer 1/2 Kraut,40.0647,-75.0392,6/13/2020
52,NY,North Salem,Mountain Lakes Backyard Ultra,41.3053,-73.5711,6/19/2020
53,MA,Pittsfield,Vegan Power 50K,42.4834,-73.3012,6/27/2020
54,CT,Stratford,Forbidden Forest 30 Hour Ultra Run,41.2459,-73.1247,6/27/2020
55,NJ,Columbus,Midnight Squatchapalooza,40.0409,-74.7349,6/28/2020
56,MA,Windsor,Notchview Ultra,42.5049,-73.0375,7/2/2020
59,NY,Lagrangeville,Red Wing Trail Challenge,41.6784,-73.7579,7/5/2020
60,VT,Bennington,Ethan Allen 24,42.8863,-73.1913,7/11/2020
61,NJ,Millburn,Fat Sass Switchback Challenge,40.7268,-74.3044,7/11/2020
62,MA,Milton,TARC Blue Hills Skyline Trail Run,42.2203,-71.1186,7/12/2020
63,MA,Egremont,Jug End Loop Ultra,42.1484,-73.4502,7/25/2020
64,MA,Medfield,TARC Summer Classic,42.1586,-71.3049,8/8/2020
65,MA,Pittsfield,Sweltering Summer Ultra,42.4412,-73.2645,8/8/2020
66,VT,East Dorset,Lost Cat 50k,43.2392,-73.0079,8/22/2020
67,VT,Dorset,Dorset Hollow Road Race,43.2693,-73.0976,8/23/2020
68,NY,Rosendale,Shawangunk Ridge Trail Run,41.8481,-74.0883,9/11/2020
69,PA,Milford,Water Gap 50k and Half,41.3097,-74.7956,9/12/2020
70,CT,Stratford,Forgotten Forest Ultra Run,41.2481,-73.1279,9/19/2020
71,VT,East Dorset,Beebe Farm 48,43.2532,-73.0072,9/25/2020
73,MA,Carlisle,TARC Fall Classic,42.5587,-71.354,10/3/2020
74,PA,Reading,Blues Cruise,40.3892,-76.042,10/4/2020
75,NJ,Ong's Hat,Batona Trail Races,39.9118,-74.62,10/10/2020
76,NH,Brookline,TARC Ghost Train Trail Races,42.8244,-71.6471,10/17/2020
78,NY,Lagrangeville,Fall Back into the Trails 10K & 50K,41.6728,-73.7599,11/1/2020
79,NH,New Boston,The Hamsterwheel,42.9821,-71.6824,11/7/2020
80,MD,Elkton,Phunt 25K/50K Trail Race,39.7004,-75.858,1/16/2021
190,NH,North Conway,Spring Run Off,44.0515,-71.1276,4/4/2020
195,NY,Fayetteville,English's Ridge Rumble,43.0582,-75.9714,4/18/2020
200,VT,Pittsfield,Peak Blood Root Ultra,43.7631,-72.8163,4/30/2020
202,NH,Tamworth,White Lake Ultras,43.8359,-71.2087,5/2/2020
208,ME,Turner,Riverlands 100,44.2612,-70.1874,5/9/2020
212,VT,,INFINITUS,43.8896,-73.0101,5/21/2020
218,NH,Tamworth,Chocorua Mountain Race,43.8943,-71.2534,6/6/2020
231,VT,Goshen,Goshen Gallop,43.8906,-73.0092,7/18/2020
240,NH,Stark,Kilkenny Ridge Race,44.5971,-71.3676,9/19/2020
241,ME,Windham,Firebird Trail Races,43.7919,-70.3568,9/19/2020
245,VT,Bradford,Devil's Den ultra and 5K,44.0321,-72.1604,10/9/2020
659,NY,Ithaca,Cayuga Trails,42.3989,-76.5681,5/30/2020
668,NY,Elmira,The Monster Brant Hill Challenge,42.0515,-76.7376,6/28/2020
679,PA,Troy,Smallfoot Trail Fest,41.8053,-76.667,7/25/2020
1680,NY,Painted Post,The Last Rebel Survivor,42.2291,-77.1237,11/10/2019
1913,PA,Wellsboro,Hills Creek Endurance Challenge,41.8085,-77.1958,5/9/2020
14427,ME,Cutler,Bold Coast Bash Trail Race - 10mi/20mi,44.6987,-67.1578,11/17/2019
19596,QC,Denholm,Mad Trapper Backyard Ultra,45.7873,-75.9132,6/20/2020
27335,PA,Glen Rock,Hex Hollow Half,39.8319,-76.6554,11/24/2019
27433,MD,Kingsville,Little Gunpowder 50K,39.4622,-76.3908,11/23/2019
27437,MD,Sparks,NCR Marathon,39.5561,-76.6252,11/30/2019
27570,DE,Laurel,Trap Pond,38.5242,-75.4781,4/19/2020
27615,PA,Lock Haven,Boulder Beast,41.1341,-77.4201,9/19/2020
27622,PA,Waterville,Little Pine 5 Miler,41.3628,-77.3563,10/17/2020
27624,PA,Waterville,Call of the Wilds Mountain Fest,41.364,-77.3562,10/18/2020
28502,MD,Upper Marlboro,Rosaryville Veterans Day 50k,38.7808,-76.7992,11/9/2019
28517,MD,Millersville,Jingle Bell Hayride at Kinder Farm Park,39.1001,-76.5824,12/7/2019
28523,PA,Huntingdon,Greenwood Furnace Snowfest 5-miler,40.6507,-77.7542,1/18/2020
28528,MD,Pocomoke,The DUC,38.1348,-75.4913,2/7/2020
28529,MD,Pocomoke City,The Algonquin 50K,38.1219,-75.4949,2/8/2020
28535,MD,Snow Hill,Blades Trail Race,38.1179,-75.467,3/15/2020
28539,MD,Boonesboro,Greenbrier Ultra's,39.54,-77.6161,3/27/2020
28545,PA,Lock Haven,Eagleton Trail Challenge,41.1785,-77.5495,4/11/2020
28548,PA,North Bend,Hyner Trail Challenge,41.3235,-77.6425,4/18/2020
28550,MD,Frederick,The Vertical Playground,39.5872,-77.4361,4/18/2020
28558,MD,Derwood,Farm Park Challenge,39.1043,-77.1609,5/2/2020
28560,PA,Huntingdon,Greenwood Furnace Trail Challenge,40.6375,-77.8284,5/3/2020
28564,MD,Lusby,Frozen Heart 50K,38.3956,-76.4293,5/16/2020
28570,PA,Slate Run,Slate Run 25K,41.4566,-77.5123,6/6/2020
28573,PA,North Bend,Little Loggers Trail Fest,41.3237,-77.6426,6/20/2020
28582,MD,Frederick,Catoctin 50k Trail Run & Half Cat,39.5875,-77.436,7/11/2020
28586,PA,North Bend,Sproul 10k,41.3234,-77.6427,7/18/2020
28589,MD,Salisbury,On The Bacon Trail - The Naylor Mill Trail 7k,38.4091,-75.5931,8/7/2020
28592,PA,North Bend,Hyner Half,41.3745,-77.625,8/22/2020
28600,MD,Salisbury,The Pemberton 24,38.3607,-75.5994,9/25/2020
29155,MD,Knoxville,C&O Canal 100,39.3571,-77.7361,4/25/2020
29167,MD,Sharpsburg,Cow Bone Trail Run 6-12-24 Hour,39.5039,-77.7854,5/23/2020
30447,NY,Naples,Muddy Sneaker 20K Trail Run,42.6347,-77.3361,4/18/2020
30672,NY,Naples,Ontario Summit Trail Races,42.7038,-77.4099,6/27/2020
30690,NY,Naples,Twisted Branch Trail Run,42.7082,-77.4154,8/22/2020
32799,MD,Thurmont,Bobcat Trail Run 11 Mile,39.5876,-77.4358,11/7/2020
32835,VA,Multiple Cities,Virginia Tour Challenge,38.6371,-77.3111,3/28/2020
33502,PA,Hollidaysburg,The Dirty Kiln Trail Race and Half-Marathon,40.4834,-78.2847,4/11/2020
33597,MD,Hancock,Western Maryland Rail Trail,39.6985,-78.1823,4/5/2020
33645,WV,Harper's Ferry,Miner's Lady 8-Hour,39.1632,-77.8316,7/25/2020
33654,PA,Claysburg,Rock N The Knob Trail Challenge,40.2966,-78.5424,9/12/2020
33974,NY,Pittsford,0 Degree Winter Trail Festival,43.0455,-77.4813,12/7/2019
34027,NY,Castile,Many On The Genny,42.5848,-78.0435,6/20/2020
34047,NY,Honeoye Falls,The Mighty Mosquito 99 Mile Relay,43.0299,-77.5699,8/8/2020
35272,VA,Triangle,Devil Dog Ultras,38.5763,-77.4167,12/7/2019
35278,VA,Williamsburg,Merry Maniac Duathlon 5m/10m/2.5m,37.2707,-76.7075,12/28/2019
35282,VA,Spotsylvania,ICY-8,38.1133,-77.8315,2/1/2020
35287,VA,Triangle,No Man's 50K,38.5586,-77.3429,3/7/2020
35288,VA,Williamsburg,March Maniac 11 hour Endurance Run,37.3244,-76.7634,3/7/2020
35295,VA,Williamsburg,Singletrack Maniac 50k,37.3375,-76.8041,3/28/2020
35296,VA,Green Bay,Dogwood Ultra Marathons,37.3809,-77.5703,3/28/2020
35303,VA,Virginia Beach,Long Creek 60k,36.8906,-76.0172,4/5/2020
35314,VA,Triangle,24 Hour - Adventure Trail,38.5802,-77.4137,4/25/2020
35315,VA,Hampton,Virginia Run for Cancer,37.0632,-76.4273,4/25/2020
35317,VA,Triangle,Chompawamsic 50K and 100K Challenge,38.5814,-77.3672,4/25/2020
35329,VA,Fort Valley,Old Dominion,38.8729,-78.5233,6/6/2020
35332,VA,Triangle,OSS/CIA,38.5586,-77.3427,6/13/2020
35342,VA,Williamsburg,Night Owl 9k,37.2707,-76.7075,7/18/2020
35354,MD,Frostburg,GAP Marathon and Half Marathon,39.6589,-78.9213,10/7/2020
